acc_train,acc_val,n_estimators,max_depth,min_samples_leaf,max_features
0.9999,0.8228990787655673,100,None,1,auto
0.97105,0.8256490913749431,100,None,2,auto
0.9397,0.8254990038718126,100,None,3,auto
0.9151,0.82274904121244,100,None,4,auto
0.89955,0.8223990037155626,100,None,5,auto
0.88875,0.8197994535905908,100,None,6,auto
0.87745,0.82024927855933,100,None,7,auto
0.86895,0.8213493661312103,100,None,8,auto
0.8654,0.8197993910374619,100,None,9,auto
0.8586,0.8183991410311963,100,None,10,auto
0.85485,0.8178998034406127,100,None,11,auto
0.8514,0.8151990908811932,100,None,12,auto
0.8493,0.8178992410249526,100,None,13,auto
0.84515,0.8171496909374806,100,None,14,auto
0.8419,0.8152996033656003,100,None,15,auto
0.8429,0.8145496907937307,100,None,16,auto
0.8428,0.816749103440569,100,None,17,auto
0.8374,0.8153991408811964,100,None,18,auto
0.8388,0.8153997409249838,100,None,19,auto
0.83315,0.8126493532343346,100,None,20,auto
0.9999,0.8204484036092751,50,None,1,auto
0.99935,0.7998993650749602,50,None,1,0.2
0.99965,0.7950494773280924,50,None,1,0.3
0.99955,0.7941494773218423,50,None,1,0.4
0.9996,0.7971992649499542,50,None,1,0.5
0.9996,0.7912496646187289,50,None,1,0.6
0.9684,0.8208990661061917,50,None,2,auto
0.975,0.8009993651124603,50,None,2,0.2
0.9785,0.7962993898874619,50,None,2,0.3
0.97935,0.7965497399312339,50,None,2,0.4
0.9792,0.79499903979994,50,None,2,0.5
0.98025,0.7937992897499556,50,None,2,0.6
0.93405,0.820099553628097,50,None,3,auto
0.93915,0.7992493400062087,50,None,3,0.2
0.9438,0.7973994024530877,50,None,3,0.3
0.94515,0.791949327128083,50,None,3,0.4
0.9467,0.7938498772218674,50,None,3,0.5
0.94965,0.7936992897249555,50,None,3,0.6
0.91245,0.8225991537155721,50,None,4,auto
0.9114,0.7975494774343422,50,None,4,0.2
0.9157,0.7931492647124541,50,None,4,0.3
0.91635,0.7927496271656017,50,None,4,0.4
0.9201,0.7926993646687103,50,None,4,0.5
0.9232,0.7907992520405782,50,None,4,0.6
0.89735,0.8210496285593518,50,None,5,auto
0.8924,0.7970989148561822,50,None,5,0.2
0.8926,0.7924497147312322,50,None,5,0.3
0.89685,0.7909994645687165,50,None,5,0.4
0.8989,0.7900496770468548,50,None,5,0.5
0.89935,0.7889496269906017,50,None,5,0.6
0.8851,0.820899441099965,50,None,6,auto
0.8775,0.7958992398374525,50,None,6,0.2
0.87895,0.7929992021780751,50,None,6,0.3
0.88225,0.7897000270156267,50,None,6,0.4
0.8848,0.7897499270031204,50,None,6,0.5
0.88405,0.7898498520343658,50,None,6,0.6
0.87715,0.8181488284780517,50,None,7,auto
0.86435,0.7933494022155877,50,None,7,0.2
0.86675,0.7907498644812415,50,None,7,0.3
0.86945,0.7895000769906299,50,None,7,0.4
0.86795,0.788749551971847,50,None,7,0.5
0.8704,0.7869998268468642,50,None,7,0.6
0.8668,0.8182994285155892,50,None,8,auto
0.8531,0.7938493397437086,50,None,8,0.2
0.85485,0.7890494769843422,50,None,8,0.3
0.8576,0.7896500020031251,50,None,8,0.4
0.8606,0.7853999018156188,50,None,8,0.5
0.8618,0.7862499768593735,50,None,8,0.6
0.85865,0.8170995158999699,50,None,9,auto
0.84775,0.7935495272280955,50,None,9,0.2
0.84905,0.7891496394812274,50,None,9,0.3
0.84955,0.788100014456251,50,None,9,0.4
0.8495,0.7875500019156251,50,None,9,0.5
0.8518,0.785700064325004,50,None,9,0.6
0.8595,0.8146490033343128,50,None,10,auto
0.83865,0.7920491770780735,50,None,10,0.2
0.8423,0.7884495144312197,50,None,10,0.3
0.84215,0.7878497393749837,50,None,10,0.4
0.84495,0.7862998018531127,50,None,10,0.5
0.84375,0.7863998518593657,50,None,10,0.6
0.8528,0.8151491158999449,50,None,11,auto
0.8355,0.7913493896187118,50,None,11,0.2
0.83655,0.7873494518655908,50,None,11,0.3
0.8349,0.7858499893312494,50,None,11,0.4
0.8374,0.7857999768343735,50,None,11,0.5
0.83725,0.7856499267718704,50,None,11,0.6
0.84985,0.8149491908061993,50,None,12,auto
0.8286,0.7908993896124619,50,None,12,0.2
0.83105,0.7866498393749899,50,None,12,0.3
0.82935,0.7856999643124978,50,None,12,0.4
0.83355,0.7831999391624962,50,None,12,0.5
0.83285,0.7838999142187446,50,None,12,0.6
0.8492,0.8151994533530909,50,None,13,auto
0.8265,0.7905497395562338,50,None,13,0.2
0.82715,0.7875499394187462,50,None,13,0.3
0.825,0.7864995893249743,50,None,13,0.4
0.82875,0.7830995641499727,50,None,13,0.5
0.8292,0.7839501892500118,50,None,13,0.6
0.8445,0.8157988534655534,50,None,14,auto
0.8228,0.7894495145062197,50,None,14,0.2
0.82255,0.7866998768406173,50,None,14,0.3
0.8232,0.7845996892624807,50,None,14,0.4
0.8223,0.7823001016531312,50,None,14,0.5
0.824,0.7822002141500134,50,None,14,0.6
0.8389,0.8119494282468391,50,None,15,auto
0.8198,0.7897499270718704,50,None,15,0.2
0.818,0.7862998393749899,50,None,15,0.3
0.81995,0.7814000390937524,50,None,15,0.4
0.82095,0.7824001266593829,50,None,15,0.5
0.8212,0.7810501890937618,50,None,15,0.6
0.83805,0.8141494907749681,50,None,16,auto
0.81685,0.7885496019531001,50,None,16,0.2
0.81565,0.7854999142999947,50,None,16,0.3
0.8176,0.7830000391437525,50,None,16,0.4
0.8168,0.7810500390875024,50,None,16,0.5
0.81775,0.7810501140687572,50,None,16,0.6
0.8386,0.8120492906874557,50,None,17,auto
